"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear"
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Retnoutria",14,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","State Government",2025
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Retnoutria",4,"At the same frequency due to no change in phenology","Invasive plant management ","2 to 5 years","State Government",2025
"R_5R23jr6FuDmhief","Massachusetts","Single site","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_7ezzjbfl2jdcxDx","Vermont","Network of sites within one state/province","Retnoutria",25,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_1HSUmXBNOowEz38","Michigan","Single site","Retnoutria",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_7NKwiRCT9j90GNs","Massachusetts","Multi-state network of sites","Retnoutria",3,"I don’t know","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025
"R_7V2SFyLI4BgpYkG","Ontario"," Other (please specify)","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Retnoutria",20,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3XKPZwC9gPe1LAB","California","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_62Pxg5v9Zs16RJA","Ontario","Network of sites within one state/province","Retnoutria",25,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_32PnpOV1HkZAw1H","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"I don’t know","Invasive plant management ","6 to 10 years","City/Municipal Government",2025
"R_6duO8IAxNUPo2RW","Massachusetts","Single site","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","State Government",2025
"R_3dKb9I322MuEgFz","Maine","Single site","Retnoutria",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Tribal/First Nation",2025
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Industry/Private Sector",2025
"R_5FfRxT4Lds9JXGr","New York","Single site","Retnoutria",3,"I don’t know","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_7xnzlMXKOTsg8HD","Michigan"," Other (please specify)","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_6WGzpWEPE19oX5v","Massachusetts","Network of sites within one state/province","Retnoutria",20,"I don’t know","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_3SsX1syXYcf2oyl","Maine","Network of sites within one state/province","Retnoutria",10,"I don’t know","Invasive plant management ","10+ years","Nongovernmental Organization",2025
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_3Uciec0XTEPN8VM","Kansas","Network of sites within one state/province","Retnoutria",NA,NA,"Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","City/Municipal Government",2025
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Retnoutria",NA,"More or less frequently for other reasons","Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
"R_7tgxSJVgLjTP0qd","New Jersey","Network of sites within one state/province","Retnoutria",NA,"At the same frequency due to no change in phenology,At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025
"R_5l9ERSBPJ1HuXCh","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years"," Federal Government",2025
"R_1nX8LdY5yOWIPMB","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years"," Federal Government",2025
"R_1x5fi5U5VCmvboJ","","","Retnoutria",NA,NA,"","","",2025
"R_6oQyieKuImjkMkF","Minnesota","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_3lytOudfMz8mBQQ","","","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_1JR7RDOKzCfiEnh","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","State Government",2025
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Retnoutria",2,"At the same frequency due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_38RNrcXY8szG3YP","","","Retnoutria",NA,NA,"Invasive plant research/science","10+ years","State Government",2025
"R_7s0bUeJot4aF7Xj","","","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Other",2025
"R_7q9Ap8ieDZ9oCyg","Arkansas","Multi-state network of sites","Retnoutria",NA,NA,"Invasive plant management ","10+ years","Industry/Private Sector",2025
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Retnoutria",3,"More or less frequently for other reasons","Invasive plant management ","2 to 5 years","Other",2025
"R_33vwY2329g6VQ0k","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","State Government",2025
"R_116BRIIEnGyCpwU","California","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","City/Municipal Government",2025
"R_5E71fWz3IruQgh6","Ohio","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","10+ years","County Government",2025
"R_3lRuInUscYVq0lX","Maine","Network of sites within one state/province","Retnoutria",NA,NA,"Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025
"R_7Ceo32FKLa3B326","","","Retnoutria",NA,NA,"Invasive plant extension","2 to 5 years","State Government",2025
"R_1n7T1SSSrODztTK","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Other",2025
"R_7irsAfnr90MpJDX","","","Retnoutria",NA,NA,"","","",2025
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Retnoutria",10,"I don’t know","Invasive plant management ","10+ years","City/Municipal Government",2025
"R_5SMOSI08B0z5H6F","","","Retnoutria",NA,NA,"Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025
