"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift"
"R_1HSUmXBNOowEz38","Michigan","Single site","Retnoutria",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,1
"R_3dKb9I322MuEgFz","Maine","Single site","Retnoutria",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_7tgxSJVgLjTP0qd","New Jersey","Network of sites within one state/province","Retnoutria",NA,"At the same frequency due to no change in phenology,At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,NA,-1.82078306545377,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Retnoutria",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Retnoutria",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.515142477920408,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Less frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Retnoutria",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1
