"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift","howshift"
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1,"more"
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Less frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0376713982039572,0.79049810961295,1,"less"
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Retnoutria",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1,"more"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Retnoutria",6,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.560657370237391,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Artemesia",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Artemesia",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1,"more"
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Artemesia",25,"More frequently due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.92352599692142,0.79049810961295,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Berberis",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1,"more"
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Berberis",9,"Less frequently due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.168417891212316,-1.82078306545377,1,"less"
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Berberis",2,"Less frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,-1.08364334227082,0.79049810961295,1,"less"
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Microstegium",2,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,1,-1.08364334227082,-1.82078306545377,1,"more"
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Microstegium",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1,"more"
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Microstegium",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1,"more"
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Microstegium",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.691403863245749,0.79049810961295,1,"more"
