"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent"
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Retnoutria",14,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.497024733125805,0.77590345940614
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Retnoutria",4,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,0,-0.816327918030227,-1.85051033624031
"R_7ezzjbfl2jdcxDx","Vermont","Network of sites within one state/province","Retnoutria",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Retnoutria",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_62Pxg5v9Zs16RJA","Ontario","Network of sites within one state/province","Retnoutria",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.94171264939744,0.77590345940614
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.77590345940614
"R_3dKb9I322MuEgFz","Maine","Single site","Retnoutria",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,1,NA,-0.537303438417083
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Retnoutria",2,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-1.07899844826143,-0.537303438417083
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Retnoutria",NA,"At the same time due to no change in phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,NA,0.77590345940614
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-1.07899844826143,0.77590345940614
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Retnoutria",3,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,0,-0.947663183145831,-1.85051033624031
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Retnoutria",12,"Earlier or later for other reasons","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.234354202894599,0.77590345940614
"R_7LZIwVNGpe3KgTI","Wisconsin","Network of sites within one state/province","Retnoutria",4,"Earlier or later for other reasons","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.816327918030227,-1.85051033624031
"R_6CfNNocJljlizu5","Michigan","Network of sites within one state/province","Retnoutria",17,"At the same time due to no change in phenology","Invasive plant management ","10+ years"," Federal Government",2025,10,1,0,0.891030528472615,0.77590345940614
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Retnoutria",5,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.684992652914624,-0.537303438417083
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Retnoutria",2,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-1.07899844826143,0.77590345940614
"R_5wUlVJP5S6N1qEN","Virginia","Network of sites within one state/province","Retnoutria",10,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","County Government",2025,6,1,0,-0.0283163273366078,-0.537303438417083
