"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift"
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,1,NA,-0.532023874289486,1
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Retnoutria",NA,"At the same time due to no change in phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,NA,0.777303258476267,0
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-1.07899763002752,0.777303258476267,1
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Retnoutria",5,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.684629360265329,-0.532023874289486,0
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Retnoutria",30,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,2.60177288775297,0.777303258476267,1
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Retnoutria",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0273489106616695,0.777303258476267,1
