"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift","howshift"
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Retnoutria",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1,"earlier & later"
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-1.07899763002752,0.777303258476267,1,"earlier"
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Retnoutria",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.532023874289486,1,"later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Retnoutria",5,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684629360265329,-1.84135100705524,1,"earlier"
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Retnoutria",30,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,2.60177288775297,0.777303258476267,1,"later"
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"later"
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Retnoutria",10,"Earlier due to changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"earlier"
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Retnoutria",2,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.07899763002752,-0.532023874289486,1,"earlier"
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Retnoutria",10,"Later due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"later"
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Retnoutria",11,"Later due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.104107179259062,0.777303258476267,1,"later"
"R_3y11MJQMOttiaqr","Massachusetts","Network of sites within one state/province","Retnoutria",3,"Earlier due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947541540106792,-1.84135100705524,1,"earlier"
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Artemesia",5,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684629360265329,-0.532023874289486,1,"earlier"
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Berberis",NA,"Earlier due to changing phenology,Later due to changing phenology,At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.777303258476267,1,"earlier & later"
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Berberis",3,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.947541540106792,-1.84135100705524,1,"later"
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Berberis",10,"Later due to changing phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0273489106616695,0.777303258476267,1,"later"
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Microstegium",2,"Later due to changing phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,1,-1.07899763002752,-1.84135100705524,1,"later"
